,Unnamed: 0,Name,version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0,0,prop-3,225,7,5,0,21,23,9,0,21,2,0.8888888890000001,87,0.0,0,0.8275862070000001,0.466666667,3,4,11.0,1,0.7143,0
1,1,prop-3,225,4,3,0,5,16,4,0,5,3,0.8888888890000001,66,0.333333333,0,0.909090909,0.666666667,1,2,14.75,2,0.75,0
2,2,prop-3,225,3,3,0,21,28,3,0,21,2,2.0,134,0.0,0,0.75,0.444444444,1,1,43.66666667,7,3.3333,0
3,3,prop-3,225,5,5,0,23,28,4,0,23,1,0.916666667,127,0.0,0,0.8888888890000001,0.666666667,2,3,23.8,1,0.6,0
4,4,prop-3,225,5,4,0,14,21,4,1,13,4,0.9375,97,0.0,0,0.8888888890000001,0.583333333,3,5,17.6,1,0.6,0
5,5,prop-3,225,4,3,5,28,33,6,5,23,2,1.083333333,205,0.25,0,0.75,0.5,1,2,49.25,1,0.75,4
6,6,prop-3,225,4,1,0,146,7,2,146,0,2,0.814814815,94,0.333333333,6,0.0,0.5,0,0,20.25,1,0.5,0
7,7,prop-3,225,2,3,0,20,26,1,0,20,2,2.0,84,0.0,0,0.857142857,0.666666667,0,0,41.0,1,0.5,0
8,8,prop-3,225,2,3,0,10,6,1,0,10,2,2.0,19,0.0,0,0.857142857,0.666666667,1,1,8.5,1,0.5,0
9,9,prop-3,225,5,5,0,25,28,10,0,25,1,1.083333333,115,0.0,0,0.8888888890000001,0.666666667,2,3,21.4,1,0.6,0
10,10,prop-3,225,9,6,0,25,51,24,1,25,1,0.96875,260,0.25,0,0.815789474,0.708333333,4,9,27.44444444,1,0.7778,1
11,11,prop-3,225,4,4,0,26,45,6,0,26,2,1.333333333,365,1.0,0,0.7857142859999999,0.5,1,1,90.0,4,2.25,0
12,12,prop-3,225,4,5,0,6,11,4,0,6,1,1.0,37,0.0,0,0.923076923,0.5555555560000001,2,2,7.5,1,0.5,0
13,13,prop-3,225,1,1,0,0,2,0,0,0,1,2.0,4,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
14,14,prop-3,225,5,6,0,15,39,4,1,14,4,0.916666667,188,0.0,0,0.892857143,0.666666667,3,3,36.0,1,0.6,0
15,15,prop-3,225,10,4,0,38,68,37,5,33,8,0.944444444,475,0.0,0,0.80952381,0.740740741,4,9,46.1,2,0.9,0
16,16,prop-3,225,3,4,0,8,7,3,0,8,1,2.0,19,0.0,0,0.857142857,0.666666667,2,2,5.333333333,1,0.6667,0
17,17,prop-3,225,7,5,0,12,17,15,1,11,2,0.944444444,67,0.0,0,0.8275862070000001,0.666666667,3,3,8.142857142999999,2,0.8571,0
18,18,prop-3,225,8,5,0,19,24,16,0,19,2,0.904761905,112,0.0,0,0.7777777779999999,0.428571429,3,6,12.625,5,1.25,1
19,19,prop-3,225,2,4,0,23,25,1,0,23,2,2.0,160,0.0,0,0.916666667,0.625,2,2,79.0,1,0.5,0
20,20,prop-3,225,2,3,0,12,9,1,0,12,2,2.0,31,0.0,0,0.857142857,0.625,1,1,14.5,1,0.5,0
21,21,prop-3,225,5,1,0,35,68,0,2,33,0,0.75,413,0.666666667,1,0.0,0.5,0,0,80.4,14,4.2,1
22,22,prop-3,225,7,4,0,11,18,21,0,11,4,1.023809524,120,0.28571428600000004,0,0.838709677,0.444444444,1,2,15.14285714,4,1.2857,0
23,23,prop-3,225,2,2,0,11,13,1,0,11,2,2.0,53,0.0,0,0.8,0.666666667,1,1,25.5,1,0.5,0
24,24,prop-3,225,2,4,0,22,36,1,0,22,2,1.0,189,0.0,0,0.916666667,0.625,1,1,93.0,1,0.5,0
25,25,prop-3,225,7,5,0,12,17,15,1,11,2,0.944444444,63,0.0,0,0.8275862070000001,0.666666667,3,3,7.571428571,2,0.8571,0
26,26,prop-3,225,2,1,0,9,8,1,4,5,1,2.0,26,0.0,0,0.0,0.5,0,0,12.0,4,2.0,0
27,27,prop-3,225,2,4,0,15,14,1,0,15,2,2.0,56,0.0,0,0.8888888890000001,0.666666667,2,2,27.0,1,0.5,0
28,28,prop-3,225,4,5,0,9,14,4,0,9,1,1.0,43,0.0,0,0.923076923,0.5555555560000001,2,2,9.0,1,0.5,0
29,29,prop-3,225,5,5,0,7,12,8,0,7,2,1.0,58,0.0,0,0.8888888890000001,0.5,3,3,10.0,1,0.6,0
30,30,prop-3,225,2,3,6,13,9,1,6,7,2,2.0,22,0.0,0,0.952380952,0.666666667,0,0,10.0,1,0.5,0
31,31,prop-3,225,2,3,0,12,8,1,0,12,2,2.0,28,0.0,0,0.857142857,0.6,1,1,13.0,2,1.0,0
32,32,prop-3,225,5,4,0,4,7,10,0,4,1,2.0,18,0.0,0,0.7777777779999999,0.6,2,3,2.6,1,0.8,2
33,33,prop-3,225,8,4,26,46,30,24,26,20,3,0.928571429,189,0.25,0,0.7692307690000001,0.404761905,2,4,22.125,5,1.625,0
34,34,prop-3,225,10,3,4,27,48,43,4,23,8,0.8263888890000001,549,0.0625,0,0.71875,0.23,0,0,52.3,20,3.2,0
35,35,prop-3,225,2,3,0,12,10,1,0,12,2,2.0,29,0.0,0,0.857142857,0.6,1,1,13.5,1,0.5,0
36,36,prop-3,225,5,6,0,26,46,4,2,24,4,0.916666667,175,0.0,0,0.903225806,0.666666667,4,4,33.4,1,0.6,0
37,37,prop-3,225,2,3,0,13,14,1,0,13,2,2.0,48,0.0,0,0.958333333,0.666666667,2,2,23.0,1,0.5,0
38,38,prop-3,225,1,1,0,4,1,0,3,1,1,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
39,39,prop-3,225,2,3,0,5,15,1,0,5,2,1.0,63,0.0,0,0.857142857,0.666666667,0,0,30.0,3,1.5,0
40,40,prop-3,225,2,3,0,5,6,1,0,5,2,2.0,20,0.0,0,0.833333333,0.666666667,2,2,9.0,1,0.5,0
41,41,prop-3,225,1,4,0,1,2,0,0,1,1,2.0,4,0.0,0,1.0,1.0,0,0,3.0,0,0.0,0
42,42,prop-3,225,4,5,0,9,13,4,0,9,1,1.0,43,0.0,0,0.923076923,0.5555555560000001,2,2,9.0,1,0.5,0
43,43,prop-3,225,3,3,0,11,10,3,0,11,2,2.0,31,0.0,0,0.92,0.5555555560000001,2,2,9.333333332999999,1,0.6667,0
