,Name,version,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
0,prop-1,4,2,4,0,2,5,1,0,2,1,2.0,24,1.0,0,0.9411764709999999,0.75,1,1,10.5,3,1.5,0
1,prop-1,4,12,4,1,19,44,66,2,18,6,2.0,259,0.0,0,0.905172414,0.35,2,3,20.58333333,8,2.0833,0
2,prop-1,4,10,4,0,13,48,45,4,13,2,1.066666667,206,1.0,0,0.9189189190000001,0.5,2,3,19.1,4,1.2,0
3,prop-1,4,2,3,0,5,7,1,0,5,1,2.0,26,1.0,0,0.933333333,0.75,1,1,11.5,4,2.0,1
4,prop-1,4,8,1,0,4,38,0,3,1,5,0.642857143,255,0.5,0,0.0,0.28571428600000004,0,0,30.625,2,0.875,0
5,prop-1,4,2,3,0,10,18,1,0,10,1,2.0,108,1.0,0,0.933333333,0.75,2,2,52.5,10,5.0,0
6,prop-1,4,2,3,0,7,14,1,0,7,1,2.0,39,1.0,0,0.933333333,0.75,1,1,18.0,2,1.0,0
7,prop-1,4,4,1,0,7,18,6,2,5,1,2.0,66,0.0,0,0.0,0.41666666700000005,0,0,15.5,2,1.5,0
8,prop-1,4,3,4,0,4,13,3,0,4,1,1.5,58,1.0,0,0.894736842,0.5555555560000001,1,1,18.0,4,2.0,0
9,prop-1,4,35,1,0,34,124,139,4,30,3,1.005462185,2273,0.057142857000000005,0,0.0,0.318627451,0,0,61.94285714,14,2.2571,0
10,prop-1,4,5,1,0,1,12,2,1,0,5,0.625,46,1.0,0,0.0,0.7,0,0,7.8,3,1.2,0
11,prop-1,4,1,1,0,0,2,0,0,0,1,2.0,5,0.0,0,0.0,1.0,0,0,3.0,0,0.0,0
12,prop-1,4,2,4,0,1,3,1,0,1,1,2.0,7,0.0,0,0.8888888890000001,1.0,1,2,2.5,1,0.5,0
13,prop-1,4,8,1,1,4,37,18,1,3,4,0.957142857,271,0.5,0,0.0,0.39285714299999996,0,0,31.625,6,1.625,0
14,prop-1,4,19,1,0,31,75,13,22,9,11,0.644444444,623,0.8,0,0.0,0.134920635,0,0,31.52631579,6,2.3684,0
15,prop-1,4,3,6,0,2,16,0,2,0,3,0.833333333,69,1.0,0,0.997088792,0.5555555560000001,1,1,21.0,1,0.6667,0
16,prop-1,4,2,2,0,4,4,1,0,4,1,2.0,12,0.0,0,0.833333333,0.75,1,1,5.0,1,0.5,0
17,prop-1,4,23,1,0,10,72,185,1,9,17,1.0031347959999999,985,0.224137931,0,0.0,0.286956522,0,0,39.30434783,12,2.1304,0
18,prop-1,4,2,1,0,5,8,1,0,5,2,2.0,27,0.0,0,0.0,0.666666667,0,0,12.5,1,0.5,0
19,prop-1,4,0,1,0,0,0,0,0,0,0,2.0,11,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0
